两	只	老	虎.	两	只	老	虎.	跑	得	快.	跑	得	快.	一	只	没	有	眼	睛.
一	只	没	有	耳	朵.	真	奇	怪.	真	奇	怪.	两	只	老	虎.	两	只	老	虎.
跑	得	快.	跑	得	快.	一	只	没	有	眼	睛.	一	只	没	有	耳	朵.	真	奇
怪.	真	奇	怪.																
迎	接	另	一	个	晨	曦.	带	来	全	新	空	气.	气	息	改	变	情	味	不
变.	茶	香	飘	满	情	谊.	我	家	大	门	常	打	开.	开	放	怀	抱	等	你.
拥	抱	过	就	有	了	默	契.	你	会	爱	上	这	里.	不	管	远	近	都	是
客	人.	请	不	用	客	气.	相	约	好	了	在	一	起	我	们	欢	迎	你.	我
家	种	着	万	年	青.	开	放	每	段	传	奇.	为	传	统	的	土	壤	播	种
为	你	留	下	回	忆.	陌	生	熟	悉	都	是	客	人.	请	不	用	拘	礼.	第
几	次	来	没	关	系.	有	太	多	话	题.	北	京	欢	迎	你.	为	你	开	天
辟	地.	流	动	中	的	魅	力	充	满	着	朝	气.	北	京	欢	迎	你.	在	太
阳	下	分	享	呼	吸.	在	黄	土	地	刷	新	成	绩.	我	家	大	门	常	打
开.	开	怀	容	纳	天	地.	岁	月	绽	放	青	春	笑	容	迎	接	这	个	日
期.	天	大	地	大	都	是	朋	友	请	不	用	客	气.	画	意	诗	情	带	笑
意	只	为	等	待	你.	北	京	欢	迎	你.	像	音	乐	感	动	你.	让	我	们
都	加	油	去	超	越	自	己.	北	京	欢	迎	你.	有	梦	想	谁	都	了	不
起.	有	勇	气	就	会	有	奇	迹.											
我	听	到	传	来	的	谁	的	声	音.	像	那	梦	里	呜	咽	中	的	小	河.
我	看	到	远	去	的	谁	的	步	伐.	遮	住	告	别	时	哀	伤	的	眼	神.
不	明	白	的	是	为	何	你	情	愿	让	风	尘	刻	画	你	的	样	子.	就
像	早	已	忘	情	的	世	界.	曾	经	拥	有	你	的	名	字	我	的	声	音.
那	悲	歌	总	会	在	梦	里	惊	醒.	诉	说	一	点	哀	伤	过	的	往	事.
那	看	似	满	不	在	乎	转	过	身	的	是	风	干	泪	眼	后	萧	瑟	的
影	子.	不	明	白	的	是	为	何	人	世	间	总	不	能	溶	解	你	的	样
子.	是	否	来	迟	了	命	运	的	预	言.	早	已	写	了	你	的	笑	容	我
的	心	情.	不	变	的	你	伫	立	在	茫	茫	的	尘	世	中.	聪	明	的	孩
子.	提	着	易	碎	的	灯	笼.	潇	洒	的	你	将	心	事	化	进	尘	缘	中.
孤	独	的	孩	子	你	是	造	物	的	恩	宠.								
轻	轻	的	我	将	离	开	你.	请	将	眼	角	的	泪	拭	去.	漫	漫	长	夜
里.	未	来	日	子	里.	亲	爱	的	你	别	为	我	哭	泣.	前	方	的	路	虽
然	太	凄	迷.	请	在	笑	容	里	为	我	祝	福.	虽	然	迎	着	风.	虽	然
下	着	雨.	我	在	风	雨	之	中	念	着	你.	没	有	你	的	日	子	里	我
会	更	加	珍	惜	自	己.	没	有	我	的	岁	月	里	你	要	保	重	你	自
己.	你	问	我	何	时	归	故	里.	我	也	轻	声	问	自	己.	不	是	在	此
时.	不	知	在	何	时.	我	想	大	约	会	是	在	冬	季.	不	是	在	此	时.
不	知	在	何	时.	我	想	大	约	会	是	在	冬	季.						
道	不	尽	红	尘	奢	恋.	诉	不	完	人	间	恩	怨.	世	世	代	代	都	是
缘.	流	着	相	同	的	血.	喝	着	相	同	的	水.	这	条	路	漫	漫	又	长
远.	红	花	当	然	配	绿	叶.	这	一	辈	子	谁	来	陪.	渺	渺	茫	茫	来
又	回.	往	日	情	景	再	浮	现.	藕	虽	断	了	丝	还	连.	轻	叹	世	间
事	多	变	迁.	爱	江	山	更	爱	美	人.	哪	个	英	雄	好	汉	宁	愿	孤
单.	好	儿	郎	浑	身	是	胆.	壮	志	豪	情	四	海	远	名	扬.	人	生	短
短	几	个	秋	啊.	不	醉	不	罢	休	东	边	我	的	美	人	啊	西	边	黄
河	流.	来	呀	来	个	酒	啊.	不	醉	不	罢	休	愁	情	烦	事	别	放	心
头.																			
是	谁	导	演	这	场	戏.	在	这	孤	单	角	色	里.	对	白	总	是	自	言
自	语.	对	手	都	是	回	忆.	看	不	出	什	么	结	局.	自	始	至	终	全
是	你.	让	我	投	入	太	彻	底.	故	事	如	果	注	定	悲	剧.	何	苦	给
我	美	丽.	演	出	相	聚	和	别	离.	没	有	星	星	的	夜	里.	我	用	泪
光	吸	引	你.	既	然	爱	你	不	能	言	语.	只	能	微	笑	哭	泣.	让	我
从	此	忘	了	你.	没	有	星	星	的	夜	里.	我	把	往	事	留	给	你.	如
果	一	切	只	是	演	戏.	要	你	好	好	看	戏.	心	碎	只	是	我	自	己.
